ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.104.123.30","5678","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","195","MOB SERVICOS DE TELECOMUNICACOES S.A","socks4","4900","3","2023-10-15T17:57:45.276Z","76","3265","4322"
"91.187.55.39","5678","elite","AS34093","CZ","Nordic Telecom Regional s.r.o.","65","Kuznik","socks4","1616","3","2023-10-15T18:24:33.391Z","99","4319","4376"
"89.39.105.138","11111","elite","AS49981","NL","WorldStream B.V.","11","Worldstream","socks5","5005","3","2023-10-15T18:23:22.185Z","97","4246","4369"
"138.201.140.125","15976","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","socks5","5095","3","2023-10-15T18:11:02.344Z","100","4346","4346"
"62.112.10.227","30105","elite","AS49981","NL","WorldStream B.V.","13","Worldstream","socks4","904","3","2023-10-15T18:39:52.151Z","68","2967","4338"
"200.93.64.216","8080","elite","AS8048","VE","CANTV Servicios, Venezuela","266","CANTV Servicios, Venezuela","socks4","5098","3","2023-10-15T17:37:55.877Z","24","1051","4342"
"24.90.38.88","48783","elite","AS12271","US","Charter Communications Inc","93","Spectrum","socks4","1497","3","2023-10-15T18:25:36.636Z","100","4367","4372"
"189.10.103.98","3128","elite","AS8167","BR","V tal","296","Brasil Telecom Comunicacao Multimidia S.A","socks5","4791","3","2023-10-15T17:18:56.751Z","97","4160","4295"
"43.134.169.72","443","elite","AS132203","SG","Aceville Pte.ltd","322","N/A","socks5","4892","3","2023-10-15T18:18:52.839Z","85","3753","4413"
"173.212.221.21","27075","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","socks4","4315","3","2023-10-15T18:48:54.550Z","100","4314","4315"
"95.140.124.161","1080","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","31","Orion Telekom Network","socks4","700","3","2023-10-15T18:18:56.088Z","100","4394","4398"
"170.150.159.18","3389","elite","AS27901","CL","Pacifico Cable SPA.","204","Pacifico Cable SPA","socks5","4707","3","2023-10-15T18:35:32.845Z","100","4393","4413"
"202.124.43.249","4145","elite","AS9902","KH","NeocomISP Limited","188","NeocomISP Limited","socks4","4595","3","2023-10-15T18:26:18.945Z","99","4369","4400"
