"mark","model","mileage","transmission","registration","fuel","power","location","price"
Aston-Martin,DBX,"0",Automatic,,Gasoline,"707",DE,282360
Mercedes-Benz,G 63 AMG,"115",Automatic,"04/2022",Gasoline,"799",DE,339900
Audi,A3,"148082",Manual,"04/2007",Diesel,"170",IT,3590
Polestar,"2","8836",Automatic,"12/2021",Electric,"231",BE,45890
BMW,"640","172757",Automatic,"05/2013",Diesel,"313",BE,23990
Audi,RS6,,Automatic,,Gasoline,"600",DE,279797
Bentley,Bentayga,"68248",Automatic,"10/2017",Gasoline,"608",DE,135999
Land-Rover,Range Rover Evoque,"130000",Automatic,"01/2016",Diesel,"150",BE,18950
Ford,Focus,"66151",Manual,"02/2018",Gasoline,"349",BE,34450
BMW,M6,"85000",Automatic,"08/2008",Gasoline,"507",DE,29990
Audi,A7,"62400",Automatic,"09/2018",Gasoline,"340",DE,48990
Porsche,"991","5400",Automatic,"06/2018",Gasoline,"700",BE,419900
Volkswagen,Polo,"168000",Automatic,"12/2010",Diesel,"90",BE,7890
Polestar,"2","20048",Automatic,"12/2021",Electric,"224",BE,37990
Audi,RS6,"40127",Automatic,"09/2021",Gasoline,"600",BE,112950
BMW,"530","99000",Automatic,"05/2018",Gasoline,"252",BE,35490
Porsche,"997","65000",Manual,"06/2007",Gasoline,"325",BE,57900
Porsche,Cayenne,"196000",Automatic,"01/2011",Diesel,"239",BE,18950
Dodge,RAM,"110000",Automatic,"12/2010",LPG,"396",BE,24990
Mercedes-Benz,G 63 AMG,"1500",Automatic,"07/2023",Gasoline,"585",DE,306630
Mercedes-Benz,G 63 AMG,"115",Automatic,"04/2022",Gasoline,"799",DE,339900
Lexus,IS 300,"22000",Automatic,"01/2018",Gasoline,"181",BE,24900
Maserati,Ghibli,"150000",Automatic,"08/2015",Diesel,"275",BE,29900
Cupra,Formentor,"24210",Automatic,"10/2022",Gasoline,"150",DE,25470
BMW,"750","114600",Automatic,"03/2017",Gasoline,"449",DE,41490
