"mark","model","mileage","transmission","registration","fuel","power","location","price"
Polestar,"2","8836",Automatic,"12/2021",Electric,"231",BE,45890
Land-Rover,Range Rover Sport,"299000",Automatic,"02/2006",Diesel,"190",BE,4950
Mercedes-Benz,CLA 200,"190000",Automatic,"01/2016",Diesel,"136",BE,13450
Audi,RS6,,Automatic,,Gasoline,"600",DE,279797
Mitsubishi,"3000 GT","139500",Manual,"04/2000",Gasoline,"286",DE,24950
Ford,Focus,"66151",Manual,"02/2018",Gasoline,"349",BE,34450
Porsche,"991","5400",Automatic,"06/2018",Gasoline,"700",BE,419900
Mercedes-Benz,E 250,"188700",Automatic,"02/2014",Diesel,"204",DE,14990
Audi,A7,"62400",Automatic,"09/2018",Gasoline,"340",DE,48990
Lexus,IS 300,"22000",Automatic,"01/2018",Gasoline,"181",BE,24900
Volkswagen,Polo,"168000",Automatic,"12/2010",Diesel,"90",BE,7890
Audi,RS6,"40127",Automatic,"09/2021",Gasoline,"600",BE,112950
Mercedes-Benz,G 63 AMG,"1500",Automatic,"07/2023",Gasoline,"585",DE,306630
Ferrari,F8 Tributo,"14800",Automatic,"04/2021",Gasoline,"721",DE,299800
Polestar,"2","20048",Automatic,"12/2021",Electric,"224",BE,37990
DR-Automobiles,DR6,,Automatic,,LPG,"1",IT,24000
BMW,"540","150000",Automatic,"05/2017",Gasoline,"340",BE,34900
Bentley,Bentayga,"124822",Automatic,"04/2016",Gasoline,"608",DE,96900
Mercedes-Benz,CLS,"131900",Automatic,"04/2018",Diesel,"340",DE,49880
Land-Rover,Range Rover Sport,"299000",Automatic,"02/2006",Diesel,"190",BE,4950
BMW,"540","150000",Automatic,"05/2017",Gasoline,"340",BE,34900
Bentley,Bentayga,"124822",Automatic,"04/2016",Gasoline,"608",DE,96900
Mercedes-Benz,CLS,"131900",Automatic,"04/2018",Diesel,"340",DE,49880
McLaren,Senna,"751",Automatic,"05/2019",Gasoline,"799",DE,1279900
Audi,A3,"45573",Automatic,"04/2021",Diesel,"116",BE,28950
