"mark","model","mileage","transmission","registration","fuel","power","location","price"
Volkswagen,T6 Transporter,"205800",Manual,"11/2017",Diesel,"150",DE,22900
Land-Rover,Range Rover Evoque,"174000",Automatic,"04/2012",Diesel,"150",IT,15500
Mercedes-Benz,S 580,"3084",Automatic,"05/2022",Gasoline,"503",DE,195890
Polestar,"2","8836",Automatic,"12/2021",Electric,"231",BE,45890
BMW,M850,"47318",Automatic,"12/2018",Gasoline,"530",DE,64499
Ford,Focus,"66151",Manual,"02/2018",Gasoline,"349",BE,34450
Maserati,MC20,"1648",Automatic,"03/2023",Gasoline,"630",DE,219900
Mercedes-Benz,C 63 AMG,"47800",Automatic,"10/2019",Gasoline,"476",DE,68880
Mercedes-Benz,E 300,"70188",Automatic,"02/2019",Diesel,"245",DE,39980
Cupra,Formentor,"37698",Automatic,"12/2021",Gasoline,"150",BE,29950
BMW,M2,"6001",Automatic,"11/2023",Gasoline,"460",BE,69900
BMW,"760","87987",Automatic,"06/2019",Gasoline,"609",DE,112999
BMW,M5,"12190",Automatic,"09/2020",Gasoline,"625",DE,83499
Audi,RS6,"21000",Automatic,"05/2022",Gasoline,"600",BE,115990
Polestar,"2","20048",Automatic,"12/2021",Electric,"224",BE,37990
Mercedes-Benz,C 350,"204300",Automatic,"05/2012",Diesel,"265",DE,18980
Porsche,Cayenne,"163286",Automatic,"08/2012",Diesel,"245",DE,25850
BMW,"430","37669",Automatic,"01/2021",Gasoline,"258",BE,43990
Jaguar,XE,"20219",Automatic,"09/2015",Gasoline,"241",BE,19650
Porsche,"962","2000",Manual,"04/1991",Gasoline,"680",DE,1395000
Ford,Mustang,"5980",Automatic,"05/2022",Gasoline,"771",BE,135000
Volkswagen,Golf GTI,,Automatic,,Gasoline,"245",BE,39990
Nissan,X-Trail,"140387",Automatic,"03/2017",Diesel,"131",BE,15598
BMW,"530","99000",Automatic,"05/2018",Gasoline,"252",BE,35490
Audi,A4,"157448",Automatic,"06/2017",Diesel,"150",IT,16990
Mercedes-Benz,A 180,"87000",Automatic,"08/2020",Diesel,"116",BE,20900
BMW,M8,"3",Automatic,"03/2023",Gasoline,"625",BE,173950
Audi,A3,"45573",Automatic,"04/2021",Diesel,"116",BE,28950
Audi,A6,"115841",Manual,"03/2017",Diesel,"136",BE,18990
Porsche,"911","2123",Automatic,"06/2023",Gasoline,"525",DE,389900
Bentley,Flying Spur,"32628",Automatic,"06/2021",Gasoline,"551",DE,199900
Volkswagen,XL1,"1252",Automatic,"06/2015",Electric,"48",DE,155900
Mercedes-Benz,SLC 200,"83380",Manual,"02/2016",Gasoline,"184",DE,25900
Ferrari,F8 Tributo,"14800",Automatic,"04/2021",Gasoline,"721",DE,299800
Porsche,"911","13812",Automatic,"04/2018",Gasoline,"700",DE,429900
BMW,X1,"122164",Manual,"01/2016",Diesel,"150",BE,14400
Mercedes-Benz,GLE 53 AMG,"11214",Automatic,"08/2022",Gasoline,"435",DE,99880
Volvo,XC60,"91409",Automatic,"01/2020",Gasoline,"190",BE,33490
Mercedes-Benz,C 200,"326000",Manual,"07/2009",Diesel,"136",BE,4300
Porsche,"962","2000",Manual,"04/1991",Gasoline,"680",DE,1395000
Volvo,XC60,"91409",Automatic,"01/2020",Gasoline,"190",BE,33490
Mercedes-Benz,C 200,"326000",Manual,"07/2009",Diesel,"136",BE,4300
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Mercedes-Benz,S 560,"87150",Automatic,"07/2018",Gasoline,"469",DE,54850
BMW,M4,"39299",Automatic,"09/2020",Gasoline,"450",DE,62784
Mercedes-Benz,C 63 AMG,"51000",Automatic,"01/2019",Gasoline,"476",DE,57500
Mercedes-Benz,A 45 AMG,"38950",Automatic,"11/2017",Gasoline,"381",BE,38950
BMW,"750","47540",Automatic,"03/2018",Gasoline,"449",DE,48880
Mercedes-Benz,E 220,"3000",Automatic,"10/2023",Diesel,"197",DE,82980
BMW,"330","50905",Automatic,"04/2020",Gasoline,"258",DE,39680
BMW,"235","40414",Automatic,"08/2020",Gasoline,"306",DE,37540
BMW,"530","200000",Automatic,"07/2018",Diesel,"265",DE,23999
BMW,M3,"81498",Automatic,"07/2016",Gasoline,"431",BE,55999
Porsche,"911","199",Manual,"03/2023",Gasoline,"551",DE,449900
Ferrari,Roma,"2823",Automatic,"04/2023",Gasoline,"620",DE,239900
BMW,X5,"52282",Automatic,"02/2019",Diesel,"265",BE,65950
Mercedes-Benz,GLE 63 AMG,"54900",Automatic,"04/2019",Gasoline,"585",DE,81900
Mercedes-Benz,C 220,"122000",Automatic,"04/2016",Diesel,"170",BE,18900
Land-Rover,Discovery Sport,"66484",Manual,"06/2018",Diesel,"150",BE,21950
Mercedes-Benz,"600","1200",Automatic,"12/1975",Gasoline,"250",DE,1844500
Peugeot,"508","123547",Manual,"01/2017",Diesel,"116",BE,9500
Kia,ProCeed / pro_cee'd,"0",Automatic,,Gasoline,"204",DE,34979
BMW,X5,"129900",Automatic,"04/2017",Diesel,"313",DE,35880
AC,Cobra,"31131",Manual,"03/1965",Gasoline,"521",BE,139995
BMW,"116","189166",Manual,"03/2012",Gasoline,"136",DE,8990
Mercedes-Benz,CLA 220,"41950",Automatic,"11/2019",Gasoline,"190",DE,32850
Jaguar,F-Pace,"91141",Automatic,"08/2019",Diesel,"1",BE,29950
Ruf,,"78760",Automatic,"04/2010",Gasoline,"620",DE,86490
BMW,M2,"66696",Automatic,"09/2020",Gasoline,"411",DE,44980
BMW,"330","47164",Automatic,"03/2020",Electric,"292",DE,38499
