"mark","model","mileage","transmission","registration","fuel","power","location","price"
Aston-Martin,DBX,"0",Automatic,,Gasoline,"707",DE,301280
Mercedes-Benz,C 220,"158000",Automatic,"11/2014",Diesel,"163",BE,15500
Jaguar,E-Pace,"0",Automatic,"01/2023",Diesel,"165",BE,47553
McLaren,Senna,"751",Automatic,"05/2019",Gasoline,"799",DE,1279900
Maybach,,"45",Automatic,,Gasoline,"612",DE,278800
Mercedes-Benz,S 560,"73000",Automatic,"01/2019",Gasoline,"469",DE,95900
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Mercedes-Benz,AMG GT,"33931",Automatic,"06/2019",Gasoline,"850",DE,159900
Cupra,Formentor,"37698",Automatic,"12/2021",Gasoline,"150",BE,29950
Maserati,GranTurismo,"3828",Automatic,"08/2019",Gasoline,"460",DE,112550
Ferrari,SF90 Stradale,"45",Automatic,,Electric,"1001",DE,638800
BMW,X3,"260000",Automatic,"01/2016",Diesel,"150",BE,14950
Porsche,Panamera,"47501",Automatic,"06/2017",Electric,"330",BE,76500
Mercedes-Benz,S 350,"132000",Automatic,"08/2014",Diesel,"258",BE,31900
Mercedes-Benz,CLA 35 AMG,"60057",Automatic,"11/2019",Gasoline,"306",BE,46950
BMW,"116","135000",Manual,"01/2016",Diesel,"95",BE,12490
BMW,"750","243883",Automatic,"01/2018",Gasoline,"449",DE,30990
BMW,M4,"39299",Automatic,"09/2020",Gasoline,"450",DE,62784
Mercedes-Benz,C 180,"41145",Manual,"03/2021",Gasoline,"156",BE,24999
Maserati,Ghibli,"88655",Automatic,"01/2016",Diesel,"275",BE,33950
BMW,i4,"452",Automatic,"01/2023",Electric,"544",AT,84980
BMW,M4,"39299",Automatic,"09/2020",Gasoline,"450",DE,62784
Mercedes-Benz,C 180,"41145",Manual,"03/2021",Gasoline,"156",BE,24999
Maserati,Ghibli,"88655",Automatic,"01/2016",Diesel,"275",BE,33950
Mercedes-Benz,G 63 AMG,"99",Automatic,"05/2023",Gasoline,"585",DE,329900
BMW,Z3,"149430",Manual,"07/1998",Gasoline,"116",BE,7800
Audi,A6,"157250",Automatic,"06/2018",Diesel,"190",BE,19500
BMW,"218","41200",Automatic,"06/2021",Gasoline,"136",BE,28900
BMW,"740","129000",Automatic,"12/2017",Electric,"329",BE,37900
Mercedes-Benz,E 63 AMG,"62200",Automatic,"03/2020",Gasoline,"612",DE,86900
Audi,TT RS,"1573",Automatic,"03/2023",Gasoline,"400",DE,99900
Mercedes-Benz,V 300,"53000",Automatic,"05/2021",Diesel,"239",BE,77900
