"mark","model","mileage","transmission","registration","fuel","power","location","price"
Cupra,Born,"6000",Automatic,"01/2023",Electric,"204",AT,29990
Mercedes-Benz,S 580,"3084",Automatic,"05/2022",Gasoline,"503",DE,195890
Volkswagen,Golf,"146000",Manual,"12/2011",Diesel,"105",BE,6450
Volkswagen,Touareg,"170000",Manual,"06/2006",Diesel,"163",BE,5500
Ferrari,"812","11177",Automatic,"06/2020",Gasoline,"795",DE,359780
Mercedes-Benz,B 200,"220000",Automatic,"11/2020",Diesel,"150",BE,22950
Audi,A3,"174504",Manual,"05/2018",Gasoline,"116",BE,11950
Land-Rover,Range Rover Evoque,"163936",Automatic,"05/2012",Diesel,"150",BE,13850
BMW,Z8,"36900",Automatic,"08/2003",Gasoline,"381",DE,398000
BMW,M850,"47318",Automatic,"12/2018",Gasoline,"530",DE,64499
Maserati,MC20,"1648",Automatic,"03/2023",Gasoline,"630",DE,219900
Opel,Astra,"198247",Manual,"06/2016",Diesel,"136",IT,6990
Renault,Scenic,"171200",Automatic,"09/2013",Diesel,"110",BE,6990
Audi,RS Q8,"10",Automatic,,Gasoline,"600",DE,135541
Porsche,Cayman,"69000",Automatic,"04/2016",Gasoline,"275",BE,47900
Mercedes-Benz,C 63 AMG,"47800",Automatic,"10/2019",Gasoline,"476",DE,68880
Mercedes-Benz,SL 63 AMG,"40",Automatic,,Gasoline,"585",DE,197780
Ford,Focus,"66151",Manual,"02/2018",Gasoline,"349",BE,34450
Audi,RS Q3,"10",Automatic,,Gasoline,"400",DE,77231
Ferrari,"812","195",Automatic,"03/2023",Gasoline,"799",DE,529900
Mercedes-Benz,"600","1200",Automatic,"12/1975",Gasoline,"250",DE,1844500
Ferrari,"812","195",Automatic,"03/2023",Gasoline,"799",DE,529900
BMW,M5,"12190",Automatic,"09/2020",Gasoline,"625",DE,83499
BMW,M4,"3471",Automatic,"09/2021",Gasoline,"510",DE,124900
Mercedes-Benz,E 350,"340000",Automatic,"12/2009",Diesel,"231",DE,8999
Volkswagen,Golf,"95481",Automatic,"11/2016",Gasoline,"300",BE,26950
BMW,"318","220000",Manual,"04/2015",Diesel,"143",BE,9950
Mercedes-Benz,S 500,"84195",Automatic,"07/2016",Gasoline,"455",DE,56990
Porsche,Cayenne,"6192",Automatic,"03/2023",Gasoline,"640",DE,214900
Mercedes-Benz,GLS 63 AMG,"500",Automatic,"10/2023",Electric,"799",IT,398000
