"mark","model","mileage","transmission","registration","fuel","power","location","price"
Aston-Martin,DBX,"7396",Automatic,"07/2022",Gasoline,"707",DE,224900
BMW,"760","88987",Automatic,"06/2019",Gasoline,"609",DE,111999
Mazda,CX-3,"286800",Manual,"09/2015",Diesel,"105",IT,7700
Maserati,Ghibli,"150000",Automatic,"08/2015",Diesel,"275",BE,29900
Ferrari,"812","11177",Automatic,"06/2020",Gasoline,"795",DE,359780
BMW,M850,"47318",Automatic,"12/2018",Gasoline,"530",DE,64499
Porsche,Cayman,"69000",Automatic,"04/2016",Gasoline,"275",BE,47900
Ferrari,"812","195",Automatic,"03/2023",Gasoline,"799",DE,529900
Volvo,V70,"143000",Automatic,"06/2013",Diesel,"136",IT,9800
BMW,M5,"12190",Automatic,"09/2020",Gasoline,"625",DE,82999
Polestar,"2","20048",Automatic,"12/2021",Electric,"224",BE,37990
EVO,EVO5,"30073",Manual,"12/2021",LPG,"126",IT,12890
BMW,M4,"39299",Automatic,"09/2020",Gasoline,"450",DE,62784
Audi,A3,"174504",Manual,"05/2018",Gasoline,"116",BE,11950
Volkswagen,Polo,"152000",Manual,"06/2011",Diesel,"90",BE,6900
Mercedes-Benz,B 200,"220000",Automatic,"11/2020",Diesel,"150",BE,22950
BMW,"530","99000",Automatic,"05/2018",Gasoline,"252",BE,35490
Mercedes-Benz,C 220,"124836",Automatic,"01/2018",Diesel,"170",BE,28290
Ferrari,F8 Tributo,"14800",Automatic,"04/2021",Gasoline,"721",DE,299800
BMW,"530","200000",Automatic,"07/2018",Diesel,"265",DE,23499
Porsche,"911","185000",Automatic,"06/2004",Gasoline,"320",AT,39990
Ferrari,F8 Tributo,"14800",Automatic,"04/2021",Gasoline,"721",DE,299800
BMW,"530","200000",Automatic,"07/2018",Diesel,"265",DE,23499
BMW,M3,"81498",Automatic,"07/2016",Gasoline,"431",BE,55999
Nissan,Qashqai,"150745",Manual,"02/2009",Diesel,"150",IT,5500
Bentley,Flying Spur,"32628",Automatic,"06/2021",Gasoline,"551",DE,199900
Porsche,Cayenne,"163286",Automatic,"08/2012",Diesel,"245",DE,25850
Mercedes-Benz,S 560,"87150",Automatic,"07/2018",Gasoline,"469",DE,54850
Audi,RS6,"12199",Automatic,"02/2023",Gasoline,"600",DE,145980
Mercedes-Benz,E 350,"340000",Automatic,"12/2009",Diesel,"231",DE,8999
Ford,Focus,"66151",Manual,"02/2018",Gasoline,"349",BE,34450
Land-Rover,Range Rover Evoque,"150000",Automatic,"05/2014",Diesel,"150",IT,15900
Bentley,Flying Spur,"37261",Automatic,"12/2020",Gasoline,"635",DE,199900
Audi,A6,"163390",Automatic,"04/2017",Diesel,"272",BE,22995
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Porsche,"992","1995",Automatic,"08/2023",Gasoline,"525",DE,409900
Mercedes-Benz,CLA 45 AMG,"7499",Automatic,"01/2023",Gasoline,"421",DE,69990
Mercedes-Benz,GLS 63 AMG,"500",Automatic,"10/2023",Electric,"799",IT,398000
Mercedes-Benz,A 45 AMG,"38950",Automatic,"11/2017",Gasoline,"381",BE,38950
BMW,"318","220000",Manual,"04/2015",Diesel,"143",BE,9950
Porsche,"962","2000",Manual,"04/1991",Gasoline,"680",DE,1395000
BMW,"318","220000",Manual,"04/2015",Diesel,"143",BE,9950
Volkswagen,Passat Variant,"411888",Manual,"12/2016",Diesel,"190",DE,9888
Nissan,X-Trail,"140387",Automatic,"03/2017",Diesel,"131",BE,15598
Cupra,Formentor,"37698",Automatic,"12/2021",Gasoline,"150",BE,29950
Mercedes-Benz,C 350,"204300",Automatic,"05/2012",Diesel,"265",DE,18980
Alfa-Romeo,Giulietta,"160000",Manual,"06/2011",LPG,"170",IT,8990
Mercedes-Benz,C 300,"26323",Automatic,"01/2021",Gasoline,"258",DE,38879
BMW,"235","40414",Automatic,"08/2020",Gasoline,"306",DE,37540
BMW,X2,"123518",Manual,"01/2019",Gasoline,"136",BE,16399
Mercedes-Benz,CLA 250,"45940",Automatic,"07/2020",Gasoline,"224",DE,38920
BMW,"330","47164",Automatic,"03/2020",Electric,"292",DE,38499
Land-Rover,Range Rover Sport,"307000",Semi-automatic,"01/2012",Diesel,"256",IT,11000
