"mark","model","mileage","transmission","registration","fuel","power","location","price"
Mercedes-Benz,C 43 AMG,"96076",Automatic,"10/2019",Gasoline,"390",DE,40850
Volvo,XC90,"108000",Automatic,"10/2017",Diesel,"190",BE,34900
Mercedes-Benz,E 400,"39987",Automatic,"05/2019",Diesel,"340",DE,43470
Audi,RS7,"5200",Automatic,"06/2023",Gasoline,"1001",DE,439000
Audi,A8,"0",Automatic,,Diesel,"286",DE,125680
Ferrari,Portofino,"91",Automatic,"05/2023",Gasoline,"620",DE,289900
Audi,RS5,"87362",Automatic,"03/2018",Gasoline,"450",BE,56000
Porsche,"928","69050",Manual,"04/1990",Gasoline,"330",BE,53000
Lynk-&-Co,"01","19850",Automatic,"09/2021",Electric,"197",DE,26500
BMW,"1er M Coupé","64628",Manual,"06/2012",Gasoline,"340",BE,57900
Mercedes-Benz,E 220,"135000",Automatic,"09/2017",Diesel,"194",BE,25900
Mercedes-Benz,CLS 53 AMG,"89793",Automatic,"10/2019",Gasoline,"435",DE,55880
Mercedes-Benz,C 200,"133875",Manual,"06/2016",Diesel,"136",BE,17950
Mercedes-Benz,C 200,"313000",Manual,"01/2006",Diesel,"122",BE,2900
Mercedes-Benz,E 220,"114730",Automatic,"08/2017",Diesel,"194",BE,26980
Porsche,"996","94153",Automatic,"07/2004",Gasoline,"320",DE,38980
Porsche,Panamera,"97500",Automatic,"04/2017",Gasoline,"549",DE,69850
Hyundai,i40,"166938",Automatic,"10/2015",Diesel,"141",DE,11399
Mazda,MX-5,"156967",Manual,"03/2007",Gasoline,"126",BE,7950
Alfa-Romeo,Stelvio,"150335",Automatic,"07/2019",Gasoline,"280",BE,26990
Maserati,Ghibli,"146855",Automatic,"11/2017",Diesel,"275",DE,34990
BMW,X1,"175000",Manual,"02/2017",Diesel,"136",BE,15950
Jaguar,F-Type,"72400",Automatic,"08/2017",Gasoline,"551",DE,60885
Audi,A7,"164988",Automatic,"10/2015",Diesel,"326",DE,29495
Ford,Excursion,"295900",Automatic,"11/2000",Diesel,"239",DE,8990
BMW,M2,"0",Automatic,,Gasoline,"460",DE,78990
Porsche,"991","124500",Automatic,"03/2013",Gasoline,"349",BE,69900
