"mark","model","mileage","transmission","registration","fuel","power","location","price"
Aston-Martin,DBX,"0",Automatic,,Gasoline,"707",DE,301280
Mercedes-Benz,G 63 AMG,"1500",Automatic,"07/2023",Gasoline,"585",DE,306630
BMW,"320","200000",Manual,"10/2012",Diesel,"184",BE,7950
Mercedes-Benz,CLS,"131900",Automatic,"04/2018",Diesel,"340",DE,50880
Maserati,MC20,"1648",Automatic,"03/2023",Gasoline,"630",DE,219900
Dodge,Caliber,"250000",Manual,"09/2008",Diesel,"140",BE,1950
Audi,A6 allroad,"165523",Automatic,"01/2017",Diesel,"320",BE,29900
Mercedes-Benz,GLA 250,"99311",Automatic,"01/2021",Electric,"160",BE,36990
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Rolls-Royce,Ghost,"3529",Automatic,"07/2022",Gasoline,"571",DE,369900
Cupra,Formentor,"37698",Automatic,"12/2021",Gasoline,"150",BE,29950
Citroen,C4 Picasso,"180658",Semi-automatic,"01/2014",Diesel,"92",BE,5900
BMW,"116","135000",Manual,"01/2016",Diesel,"95",BE,12490
McLaren,Senna,"751",Automatic,"05/2019",Gasoline,"799",DE,1279900
Maserati,GranTurismo,"3828",Automatic,"08/2019",Gasoline,"460",DE,112550
BMW,"220","75132",Automatic,"04/2014",Diesel,"184",BE,22900
BMW,"750","243883",Automatic,"01/2018",Gasoline,"449",DE,30990
Porsche,"992","199",Manual,"03/2023",Gasoline,"551",DE,449900
BMW,M4,"39299",Automatic,"09/2020",Gasoline,"450",DE,62784
Mercedes-Benz,CLA 35 AMG,"60057",Automatic,"11/2019",Gasoline,"306",BE,46950
Ferrari,"812","11177",Automatic,"01/2020",Gasoline,"799",DE,359780
Mercedes-Benz,CLA 35 AMG,"60057",Automatic,"11/2019",Gasoline,"306",BE,46950
Mercedes-Benz,G 63 AMG,"99",Automatic,"05/2023",Gasoline,"585",DE,329900
Porsche,"911","199",Manual,"03/2023",Gasoline,"551",DE,449900
Mercedes-Benz,S 350,"132000",Automatic,"08/2014",Diesel,"258",BE,31900
BMW,"320","186000",Automatic,"06/2016",Diesel,"163",BE,12950
Land-Rover,Defender,"245210",Manual,"09/2007",Diesel,"122",BE,26995
BMW,X5,"52282",Automatic,"02/2019",Diesel,"265",BE,65950
Mercedes-Benz,C 180,"41145",Manual,"03/2021",Gasoline,"156",BE,24999
Mercedes-Benz,C 200,"71000",Automatic,"01/2022",Diesel,"163",BE,35900
Maserati,Ghibli,"88655",Automatic,"01/2016",Diesel,"275",BE,33950
Audi,RS Q3,"50",Automatic,"10/2023",Gasoline,"400",DE,73900
Audi,A6,"157250",Automatic,"06/2018",Diesel,"190",BE,19500
Lynk-&-Co,"01","19850",Automatic,"09/2021",Electric,"197",DE,25950
Audi,A3,"45573",Automatic,"04/2021",Diesel,"116",BE,28950
Bentley,Flying Spur,"37261",Automatic,"12/2020",Gasoline,"635",DE,199900
Audi,A3,"133937",Manual,"08/2014",Gasoline,"125",BE,15990
Mercedes-Benz,G 500,"54762",Automatic,"01/2019",Gasoline,"421",BE,133990
Bentley,Flying Spur,"32628",Automatic,"06/2021",Gasoline,"551",DE,199900
Mercedes-Benz,C 200,"45",Automatic,,Gasoline,"204",DE,84800
BMW,iX1,"10000",Automatic,"09/2023",Electric,"272",AT,59900
Mercedes-Benz,C 200,"45",Automatic,,Gasoline,"204",DE,84800
Mercedes-Benz,C 63 AMG,"79750",Automatic,"07/2018",Gasoline,"510",DE,67900
Mercedes-Benz,C 200,"52247",Automatic,"01/2022",Diesel,"163",BE,37990
Porsche,Panamera,"120000",Automatic,"07/2018",Gasoline,"330",BE,60950
Mercedes-Benz,S 400,"60000",Automatic,"11/2016",Gasoline,"367",BE,54900
BMW,X3,"260000",Automatic,"01/2016",Diesel,"150",BE,14950
Porsche,"991","13812",Automatic,"04/2018",Gasoline,"700",DE,429900
Audi,Q7,"278000",Automatic,"04/2016",Diesel,"272",DE,31000
Mercedes-Benz,E 200,"55000",Automatic,"05/2018",Gasoline,"184",BE,37900
Audi,A8,"273100",Automatic,"04/2008",Diesel,"326",DE,11990
Porsche,Panamera,"97500",Automatic,"04/2017",Gasoline,"549",DE,69850
Mercedes-Benz,CLA 250,"45940",Automatic,"07/2020",Gasoline,"224",DE,39680
Mercedes-Benz,E 350,"212224",Automatic,"02/2014",Gasoline,"306",DE,17999
Porsche,"996","94153",Automatic,"07/2004",Gasoline,"320",DE,38980
Ford,Mustang,"5980",Automatic,"05/2022",Gasoline,"771",BE,135000
Ferrari,SF90 Stradale,"45",Automatic,,Electric,"1001",DE,638800
Rolls-Royce,Ghost,"44244",Automatic,"01/2021",Gasoline,"571",DE,329900
Volvo,XC60,"17488",Automatic,"08/2022",Gasoline,"197",BE,47890
Mercedes-Benz,C 200,"133875",Manual,"06/2016",Diesel,"136",BE,17950
Mercedes-Benz,G 63 AMG,"1500",Automatic,"07/2023",Gasoline,"585",DE,306630
Bentley,Bentayga,"124822",Automatic,"04/2016",Gasoline,"608",DE,96900
BMW,"328","201000",Automatic,"05/1998",Gasoline,"193",DE,3999
Volkswagen,Touran,"164742",Automatic,"03/2018",Diesel,"116",BE,16950
Mercedes-Benz,CLA 35 AMG,"76521",Automatic,"02/2020",Gasoline,"306",DE,44859
Mercedes-Benz,E 220,"64715",Automatic,"12/2021",Diesel,"194",BE,43490
BMW,M4,"14000",Automatic,"03/2022",Gasoline,"510",BE,85000
Audi,A4 allroad,"160000",Manual,"10/2009",Diesel,"170",IT,9990
Ford,Mustang,"26085",Automatic,"07/2020",Gasoline,"450",DE,43980
Mercedes-Benz,CLA 45 AMG,"135000",Automatic,"02/2014",Gasoline,"360",BE,29950
BMW,Z3,"184160",Manual,"06/2001",Gasoline,"170",BE,10900
Mercedes-Benz,A 45 AMG,"38950",Automatic,"11/2017",Gasoline,"381",BE,38950
Jaguar,F-Type,"72400",Automatic,"08/2017",Gasoline,"551",DE,60885
Mercedes-Benz,SLK 200,"150000",Manual,"03/2010",Gasoline,"184",DE,9999
Audi,A8,"0",Automatic,,Diesel,"286",DE,125680
BMW,"530","56576",Automatic,"10/2020",Electric,"252",DE,39950
BMW,"740","129000",Automatic,"12/2017",Electric,"329",BE,37900
